titel;kuerzel;slug;url;untertitel;kategorien;spielart_geschaetzt
Hier ist Eden;;hier-ist-eden;https://theaterverlag-arno-boas.de/stuecke/hier-ist-eden;Einakter;Tragikomödie;Einakter
Hintergrubers Blautanne;;hintergrubers-blautanne;https://theaterverlag-arno-boas.de/stuecke/hintergrubers-blautanne;Komödie (Einakter);Weihnachten;Einakter
Hochzeit mit Leichen im Keller;;hochzeit-mit-leichen-im-keller;https://theaterverlag-arno-boas.de/stuecke/hochzeit-mit-leichen-im-keller;Komödie über eine Hochzeit, die in einem Fiasko endet;Komödie;Abendfüllend
Hotel Sonnenschein: Vollpension mit Stromausfall;;hotel-sonnenschein-vollpension-mit-stromausfall;https://theaterverlag-arno-boas.de/stuecke/hotel-sonnenschein-vollpension-mit-stromausfall;Urlaubs-Komödie;Komödie;Abendfüllend
Höchststrafe: Kurschatten;;hochststrafe-kurschatten;https://theaterverlag-arno-boas.de/stuecke/hochststrafe-kurschatten;Komödie;Komödie;Abendfüllend
Im Himmel trifft man sich wieder;;im-himmel-trifft-man-sich-wieder;https://theaterverlag-arno-boas.de/stuecke/im-himmel-trifft-man-sich-wieder;Historische Komödie aus dem 16. Jahrhundert;Komödie;Abendfüllend
Im Reisebüro;;im-reiseburo;https://theaterverlag-arno-boas.de/stuecke/im-reiseburo;Komödie (Einakter);Komödie;Einakter
Im verrückten Wilden Westen;;im-verruckten-wilden-westen;https://theaterverlag-arno-boas.de/stuecke/im-verruckten-wilden-westen;Western-Komödie;Komödie;Abendfüllend
Immer dasselbe;;immer-dasselbe;https://theaterverlag-arno-boas.de/stuecke/immer-dasselbe;Komödie;Komödie;Abendfüllend
Immer der Ärger mit diesen Lehren;;immer-der-arger-mit-diesen-lehren;https://theaterverlag-arno-boas.de/stuecke/immer-der-arger-mit-diesen-lehren;Komödie (Einakter);Für Jugendliche;Einakter
In der Tür geirrt;;in-der-tur-geirrt;https://theaterverlag-arno-boas.de/stuecke/in-der-tur-geirrt;Einakter über den Wahnsinn bei der Wohnungssuche;Komödie;Einakter
In Schottland sind die Nächte lang;;in-schottland-sind-die-nachte-lang;https://theaterverlag-arno-boas.de/stuecke/in-schottland-sind-die-nachte-lang;Komödie;Komödie;Abendfüllend
Ja, Mama;;ja-mama;https://theaterverlag-arno-boas.de/stuecke/ja-mama;Boulevard-Komödie;Komödie;Abendfüllend
