titel;kuerzel;slug;url;untertitel;kategorien;spielart_geschaetzt
Aufs Kreuz gelegt;;aufs-kreuz-gelegt;https://theaterverlag-arno-boas.de/stuecke/aufs-kreuz-gelegt;Tragikomödie;Komödie, Drama, Tragikomödie;Abendfüllend
Aufstand im Olymp;;aufstand-im-olymp;https://theaterverlag-arno-boas.de/stuecke/aufstand-im-olymp;Göttliche Komödie;Komödie;Abendfüllend
Bauer sucht Sau;;bauer-sucht-sau;https://theaterverlag-arno-boas.de/stuecke/bauer-sucht-sau;Komödie (Einakter);Komödie;Einakter
Bei uns daham;;bei-uns-daham;https://theaterverlag-arno-boas.de/stuecke/bei-uns-daham;Komödie (Einakter);Komödie;Einakter
Beim Franko ist was los;;beim-franko-ist-was-los;https://theaterverlag-arno-boas.de/stuecke/beim-franko-ist-was-los;Komödie;Komödie;Abendfüllend
Bescherung ohne Geschenk;;bescherung-ohne-geschenk;https://theaterverlag-arno-boas.de/stuecke/bescherung-ohne-geschenk;Komödie (Sketch);Komödie, Weihnachten;Sketch
Bier, Bits und ein Baby;;bier-bits-und-ein-baby;https://theaterverlag-arno-boas.de/stuecke/bier-bits-und-ein-baby;Komödie;Komödie;Abendfüllend
Bis dass der Tod uns scheidet;;bis-dass-der-tod-uns-scheidet;https://theaterverlag-arno-boas.de/stuecke/bis-dass-der-tod-uns-scheidet;Tragikomödie;Komödie, Tragikomödie;Abendfüllend
Bürger Franz;;buerger-franz;https://theaterverlag-arno-boas.de/stuecke/buerger-franz;Komödie über einen Spießbürger par excellence;Komödie;Abendfüllend
Chaos auf dem Bauernhof;;chaos-auf-dem-bauernhof;https://theaterverlag-arno-boas.de/stuecke/chaos-auf-dem-bauernhof;Ländliches Lustspiel;Komödie;Abendfüllend
Das Beziehungsprinzip;;das-beziehungsprinzip;https://theaterverlag-arno-boas.de/stuecke/das-beziehungsprinzip;Komödie über das, was Beziehungen auch sein können;Komödie;Abendfüllend
Das bisschen Haushalt;;das-bisschen-haushalt;https://theaterverlag-arno-boas.de/stuecke/das-bisschen-haushalt;Komödie (Einakter);Komödie;Einakter
Das Bruderherz;;das-bruderherz;https://theaterverlag-arno-boas.de/stuecke/das-bruderherz;Lustspiel;Komödie;Abendfüllend
Das Eigentor;;das-eigentor;https://theaterverlag-arno-boas.de/stuecke/das-eigentor;Sportliches Lustspiel;Komödie;Abendfüllend
Das Familienfest;;das-familienfest;https://theaterverlag-arno-boas.de/stuecke/das-familienfest;Komödie (Sketch);Weihnachten;Sketch
Das Geburtstagsgeschenk;;das-geburtstagsgeschenk;https://theaterverlag-arno-boas.de/stuecke/das-geburtstagsgeschenk;Komödie (Sketch);Für Senioren;Sketch
Das klösterliche Wickelkind;;das-klosterliche-wickelkind;https://theaterverlag-arno-boas.de/stuecke/das-klosterliche-wickelkind;Schwank;Komödie;Abendfüllend
Das Miststück;;das-miststuck;https://theaterverlag-arno-boas.de/stuecke/das-miststuck;Ländliches Lustspiel;Komödie;Abendfüllend
Das verrückte Haus;;das-verruckte-haus;https://theaterverlag-arno-boas.de/stuecke/das-verruckte-haus;Komödie;Komödie;Abendfüllend
Dass ich in den Himmel komm;;dass-ich-in-den-himmel-komm;https://theaterverlag-arno-boas.de/stuecke/dass-ich-in-den-himmel-komm;Lustspiel;Komödie;Abendfüllend
Der (fast) vergessene Weihnachtsengel;;der-fast-vergessene-weihnachtsengel;https://theaterverlag-arno-boas.de/stuecke/der-fast-vergessene-weihnachtsengel;Einakter;Komödie, Für Jugendliche, Weihnachten;Einakter
Der 31. November;;der-31-november;https://theaterverlag-arno-boas.de/stuecke/der-31-november;Komödie;Komödie;Abendfüllend
Der Aufstieg;;der-aufstieg;https://theaterverlag-arno-boas.de/stuecke/der-aufstieg;Komödie um eine missglückte Bergwanderung;Komödie;Abendfüllend
Der doppelte Onkel;;der-doppelte-onkel;https://theaterverlag-arno-boas.de/stuecke/der-doppelte-onkel;Schwank (Einakter);Komödie;Einakter
Der Ehrendoktorhut;;der-ehrendoktorhut;https://theaterverlag-arno-boas.de/stuecke/der-ehrendoktorhut;Komödie über den provinziellen Ehrenkäs;Komödie;Abendfüllend
Der Erbschaftsjodler;;der-erbschaftsjodler;https://theaterverlag-arno-boas.de/stuecke/der-erbschaftsjodler;Schwank;Komödie;Abendfüllend
Der Erlebnisbericht;;der-erlebnisbericht;https://theaterverlag-arno-boas.de/stuecke/der-erlebnisbericht;Komödie (Einakter);Komödie;Einakter
Der Experte;;der-experte;https://theaterverlag-arno-boas.de/stuecke/der-experte;Komödie;Komödie;Abendfüllend
Der Frosch-König oder Wenn's Handy in den Brunnen fällt;;der-frosch-konig-oder-wenns-handy-in-den-brunnen-fallt;https://theaterverlag-arno-boas.de/stuecke/der-frosch-konig-oder-wenns-handy-in-den-brunnen-fallt;Modernes Märchen (Einakter);Für Jugendliche;Einakter
Der glückliche Hans;;der-gluckliche-hans;https://theaterverlag-arno-boas.de/stuecke/der-gluckliche-hans;Parabel für Kinder (Einakter);Für Jugendliche, Märchen;Einakter
Der große Coup von Wickenham;;der-grose-coup-von-wickenham;https://theaterverlag-arno-boas.de/stuecke/der-grose-coup-von-wickenham;Westernkomödie;Komödie;Abendfüllend
Der Hansibub;;der-hansibub;https://theaterverlag-arno-boas.de/stuecke/der-hansibub;Komödie;Komödie;Abendfüllend
Der Hecht im Karpfenteich;;der-hecht-im-karpfenteich;https://theaterverlag-arno-boas.de/stuecke/der-hecht-im-karpfenteich;Komödie;Komödie;Abendfüllend
Der Held der Kieselsteine;;der-held-der-kieselsteine;https://theaterverlag-arno-boas.de/stuecke/der-held-der-kieselsteine;Jugendtheaterstück;Für Jugendliche;Abendfüllend
Der Herr liebt auch die kleinen Boxer;;der-herr-liebt-auch-die-kleinen-boxer;https://theaterverlag-arno-boas.de/stuecke/der-herr-liebt-auch-die-kleinen-boxer;Lustspiel von Jochen Wiltschko;Komödie;Abendfüllend
Der Hexenschuss;;der-hexenschuss;https://theaterverlag-arno-boas.de/stuecke/der-hexenschuss;Komödie;Komödie;Abendfüllend
Der Jubiläums-Zinnober;;der-jubilaums-zinnober;https://theaterverlag-arno-boas.de/stuecke/der-jubilaums-zinnober;Lustspiel;Komödie;Abendfüllend
Der Lenz, der Bengel;;der-lenz-der-bengel;https://theaterverlag-arno-boas.de/stuecke/der-lenz-der-bengel;Komödie aus einer fränkisch-hochdeutschen Mischehe;Komödie;Abendfüllend
Der letzte Schrei;;der-letzte-schrei;https://theaterverlag-arno-boas.de/stuecke/der-letzte-schrei;Krimi-Komödie;Komödie, Krimi, Krimikomödie;Abendfüllend
Der letzte Spießer;;der-letzte-spieser;https://theaterverlag-arno-boas.de/stuecke/der-letzte-spieser;Komödie;Komödie;Abendfüllend
Der letzte Tag;;der-letzte-tag;https://theaterverlag-arno-boas.de/stuecke/der-letzte-tag;Komödie über den letzten Arbeitstag, der fast im Chaos endet;Komödie;Abendfüllend
Der letzte Vorhang;;der-letzte-vorhang;https://theaterverlag-arno-boas.de/stuecke/der-letzte-vorhang;Komödie;Komödie;Abendfüllend
Der liebevolle Friedrich;;der-liebevolle-friedrich;https://theaterverlag-arno-boas.de/stuecke/der-liebevolle-friedrich;Komödie (Sketch);Für Senioren;Sketch
Der Machtkampf;;der-machtkampf;https://theaterverlag-arno-boas.de/stuecke/der-machtkampf;Lustspiel;Komödie;Abendfüllend
Der Meisterfotograf;;der-meisterfotograf;https://theaterverlag-arno-boas.de/stuecke/der-meisterfotograf;Komödie (Einakter);Komödie;Einakter
Der mit dem King tanzt;;der-mit-dem-king-tanzt;https://theaterverlag-arno-boas.de/stuecke/der-mit-dem-king-tanzt;Komödie über den King of Rock'n'Roll;Komödie;Abendfüllend
Der neue Freund;;der-neue-freund;https://theaterverlag-arno-boas.de/stuecke/der-neue-freund;Komödie (Einakter);Komödie;Einakter
Der Niemandshof;;der-niemandshof;https://theaterverlag-arno-boas.de/stuecke/der-niemandshof;Ländliches Lustspiel;Komödie;Abendfüllend
Der Nächste, bitte;;der-nachste-bitte;https://theaterverlag-arno-boas.de/stuecke/der-nachste-bitte;Komödie;Komödie;Abendfüllend
Der Spürhund von Sankt Anton;;der-spurhund-von-sankt-anton;https://theaterverlag-arno-boas.de/stuecke/der-spurhund-von-sankt-anton;Katholische Krimi-Komödie;Komödie, Krimi, Krimikomödie;Abendfüllend
Der Tod ist auch nur ein Mensch;;der-tod-ist-auch-nur-ein-mensch;https://theaterverlag-arno-boas.de/stuecke/der-tod-ist-auch-nur-ein-mensch;Komödie mit schwarzem Humor über die Liebe, den Tod, aber nicht den Teufel;Komödie;Abendfüllend
Der Traumjob;;der-traumjob;https://theaterverlag-arno-boas.de/stuecke/der-traumjob;Komödie (Sketch);Weihnachten;Sketch
Der verflixte Jungbrunnen;;der-verflixte-jungbrunnen;https://theaterverlag-arno-boas.de/stuecke/der-verflixte-jungbrunnen;Komödie über ein besonderes Elexier;Komödie;Abendfüllend
Der weibliche Zwilling;;der-weibliche-zwilling;https://theaterverlag-arno-boas.de/stuecke/der-weibliche-zwilling;Komödie;Komödie;Abendfüllend
Der Westentaschen-Gigolo;;der-westentaschen-gigolo;https://theaterverlag-arno-boas.de/stuecke/der-westentaschen-gigolo;Komödie;Komödie;Abendfüllend
Die Aischgrund-Cops;;die-aischgrund-cops;https://theaterverlag-arno-boas.de/stuecke/die-aischgrund-cops;Komödie (Einakter);Komödie;Einakter
Die Bänkler;;die-bankler;https://theaterverlag-arno-boas.de/stuecke/die-bankler;Komödie für Senioren (Einakter);Für Senioren;Einakter
Die Dichterlesung;;die-dichterlesung;https://theaterverlag-arno-boas.de/stuecke/die-dichterlesung;Komödie;Komödie;Abendfüllend
Die dicksten Bauern (60 Min.);;die-dicksten-bauern-60-min;https://theaterverlag-arno-boas.de/stuecke/die-dicksten-bauern-60-min;Komödie nach einer alten Volkserzählung (Kurzfassung);Komödie;Abendfüllend
Die dicksten Bauern (95 Min.);;die-dicksten-bauern-95-min;https://theaterverlag-arno-boas.de/stuecke/die-dicksten-bauern-95-min;Komödie nach einer alten Volkserzählung;Komödie;Abendfüllend
Die falsche Erbtante;;die-falsche-erbtante;https://theaterverlag-arno-boas.de/stuecke/die-falsche-erbtante;Schwank;Komödie;Abendfüllend
Die giftige Verwandtschaft;;die-giftige-verwandtschaft;https://theaterverlag-arno-boas.de/stuecke/die-giftige-verwandtschaft;Komödie;Komödie;Abendfüllend
Die junge Mutter;;die-junge-mutter;https://theaterverlag-arno-boas.de/stuecke/die-junge-mutter;Komödie (Sketch);Für Senioren;Sketch
Die Kaffeefahrt;;die-kaffeefahrt;https://theaterverlag-arno-boas.de/stuecke/die-kaffeefahrt;Komödie;Komödie;Abendfüllend
Die Kneipe zur Sanduhr;;die-kneipe-zur-sanduhr;https://theaterverlag-arno-boas.de/stuecke/die-kneipe-zur-sanduhr;Komödie;Komödie;Abendfüllend
Die kunterbunte Wunderkuh;;die-kunterbunte-wunderkuh;https://theaterverlag-arno-boas.de/stuecke/die-kunterbunte-wunderkuh;Schwank;Komödie;Abendfüllend
Die Permanente Frau;;die-permanente-frau;https://theaterverlag-arno-boas.de/stuecke/die-permanente-frau;Komödie (Einakter);Komödie;Einakter
Die Retter der Märchenwelt;;die-retter-der-marchenwelt;https://theaterverlag-arno-boas.de/stuecke/die-retter-der-marchenwelt;Modernes Märchen (Einakter);Für Jugendliche, Märchen;Einakter
Die Schafkopf-Gang und ihr Prophet;;die-schafkopf-gang-und-ihr-prophet;https://theaterverlag-arno-boas.de/stuecke/die-schafkopf-gang-und-ihr-prophet;Komödie über eine außergewöhnliche Begabung;Komödie;Abendfüllend
Die Schneiders-Hochzeit;;die-schneiders-hochzeit;https://theaterverlag-arno-boas.de/stuecke/die-schneiders-hochzeit;Komödie;Komödie;Abendfüllend
Die steinreiche Lumpenbande;;die-steinreiche-lumpenbande;https://theaterverlag-arno-boas.de/stuecke/die-steinreiche-lumpenbande;Krimi-Komödie;Komödie, Krimi, Krimikomödie;Abendfüllend
Die Treibjagd;;die-treibjagd;https://theaterverlag-arno-boas.de/stuecke/die-treibjagd;Tragikomödie für ambitionierte Bühnen;Tragikomödie;Abendfüllend
Die vierte Glocke;;die-vierte-glocke;https://theaterverlag-arno-boas.de/stuecke/die-vierte-glocke;Ländliches Lustspiel;Komödie;Abendfüllend
Die Wahrheit zum Dessert;;die-wahrheit-zum-dessert;https://theaterverlag-arno-boas.de/stuecke/die-wahrheit-zum-dessert;Drama;Drama;Abendfüllend
Die zweite Chance;;die-zweite-chance;https://theaterverlag-arno-boas.de/stuecke/die-zweite-chance;Zumba, Zoff und Zickenkrieg;Für Jugendliche;Abendfüllend
